Timestamp,GlobalX,GlobalY,GlobalYaw,XVelocity,YVelocity,YawVelocity,MotorTemp,BodyTemp,BatteryLevel,TimeToTarget,Mode
2025-07-03 14:00:00+00:00,0.0,0.0,0,0.0,0.0,0.0,72.0,40.0,100,30,Idle
2025-07-03 14:00:05+00:00,0.1,0.0,5,0.02,0.0,1.0,72.5,40.2,99,25,Delivering Tool
2025-07-03 14:00:10+00:00,0.2,0.01,10,0.03,0.01,1.2,73.0,40.4,98,20,Delivering Tool
2025-07-03 14:00:15+00:00,0.3,0.03,15,0.04,0.02,1.5,73.2,40.6,97,15,Delivering Tool
2025-07-03 14:00:20+00:00,0.4,0.06,20,0.05,0.03,1.8,73.5,40.8,96,10,Delivering Tool
2025-07-03 14:00:25+00:00,0.5,0.1,25,0.06,0.04,2.0,74.0,41.0,95,5,Delivering Tool
2025-07-03 14:00:30+00:00,0.6,0.15,30,0.07,0.05,2.2,74.2,41.2,94,0,Idle
2025-07-03 14:00:35+00:00,0.6,0.15,30,0.0,0.0,0.0,74.0,41.3,93,45,Retrieving Tool
2025-07-03 14:00:40+00:00,0.55,0.12,28,-0.05,-0.03,-1.0,73.8,41.4,92,40,Retrieving Tool
2025-07-03 14:00:45+00:00,0.5,0.08,25,-0.06,-0.04,-1.2,73.5,41.5,91,35,Retrieving Tool
2025-07-03 14:00:50+00:00,0.45,0.04,20,-0.07,-0.04,-1.5,73.2,41.6,90,30,Retrieving Tool
2025-07-03 14:00:55+00:00,0.4,0.0,15,-0.05,-0.04,-1.8,73.0,41.7,89,25,Retrieving Tool
2025-07-03 14:01:00+00:00,0.35,-0.02,10,-0.04,-0.02,-2.0,72.8,41.8,88,20,Idle
2025-07-03 14:01:05+00:00,0.35,-0.02,10,0.0,0.0,0.0,72.5,41.9,87,60,Idle
2025-07-03 14:01:10+00:00,0.35,-0.02,10,0.0,0.0,0.0,72.2,42.0,86,55,Idle
